sample_name	condition
SRR1550981_GSM1479433_lib221_Homo_sapiens_RNA-Seq	normal
SRR1550981_GSM1479433_lib221_Homo_sapiens_RNA-Seq	normal
SRR1551053_GSM1479505_lib294_Homo_sapiens_RNA-Seq	normal
SRR1551053_GSM1479505_lib294_Homo_sapiens_RNA-Seq	normal
SRR1551060_GSM1479512_lib301_Homo_sapiens_RNA-Seq	normal
SRR1551060_GSM1479512_lib301_Homo_sapiens_RNA-Seq	normal
SRR1551067_GSM1479519_lib308_Homo_sapiens_RNA-Seq	ALS
SRR1551067_GSM1479519_lib308_Homo_sapiens_RNA-Seq	ALS
SRR1551074_GSM1479526_lib315_Homo_sapiens_RNA-Seq	normal
SRR1551074_GSM1479526_lib315_Homo_sapiens_RNA-Seq	normal
SRR1551081_GSM1479533_lib322_Homo_sapiens_RNA-Seq	ALS
SRR1551081_GSM1479533_lib322_Homo_sapiens_RNA-Seq	ALS
SRR1551114_GSM1479566_lib355_Homo_sapiens_RNA-Seq	ALS
SRR1551114_GSM1479566_lib355_Homo_sapiens_RNA-Seq	ALS
