sample_name	condition
SRR1686819_GSM1556699_WT1_Homo_sapiens_RNA-Seq	WT
SRR1686820_GSM1556699_WT1_Homo_sapiens_RNA-Seq	WT
SRR1686821_GSM1556700_WT2_Homo_sapiens_RNA-Seq	WT
SRR1686822_GSM1556700_WT2_Homo_sapiens_RNA-Seq	WT
SRR1686823_GSM1556701_WT3_Homo_sapiens_RNA-Seq	WT
SRR1686825_GSM1556701_WT3_Homo_sapiens_RNA-Seq	WT
SRR1686826_GSM1556702_SLE1_Homo_sapiens_RNA-Seq	SLE
SRR1686827_GSM1556702_SLE1_Homo_sapiens_RNA-Seq	SLE
SRR1686828_GSM1556703_SLE2_Homo_sapiens_RNA-Seq	SLE
SRR1686829_GSM1556703_SLE2_Homo_sapiens_RNA-Seq	SLE
