sample_name	condition
SRR1947493_GSM1646961_M375-none-4_Homo_sapiens_RNA-Seq	none
SRR1947489_GSM1646957_M372-none-4_Homo_sapiens_RNA-Seq	none
SRR1947506_GSM1646974_M375-Staph-4_Homo_sapiens_RNA-Seq	Staph
SRR1947507_GSM1646975_M374-none-48_Homo_sapiens_RNA-Seq	none
SRR1947508_GSM1646976_M373-Staph-4_Homo_sapiens_RNA-Seq	Staph
SRR1947512_GSM1646980_M376-none-48_Homo_sapiens_RNA-Seq	none
SRR1947513_GSM1646981_M375-Staph-18_Homo_sapiens_RNA-Seq	Staph
SRR1947522_GSM1646990_M373-Staph-18_Homo_sapiens_RNA-Seq	Staph
SRR1947539_GSM1647007_M377-Staph-4_Homo_sapiens_RNA-Seq	Staph
SRR1947541_GSM1647009_M374-Staph-4_Homo_sapiens_RNA-Seq	Staph
SRR1947544_GSM1647012_M375-none-18_Homo_sapiens_RNA-Seq	none
SRR1947545_GSM1647013_M373-none-18_Homo_sapiens_RNA-Seq	none
SRR1947555_GSM1647023_M372-Staph-18_Homo_sapiens_RNA-Seq	Staph
SRR1947557_GSM1647025_M375-none-48_Homo_sapiens_RNA-Seq	none
SRR1947556_GSM1647024_M372-none-48_Homo_sapiens_RNA-Seq	none
SRR1947559_GSM1647027_M377-Staph-18_Homo_sapiens_RNA-Seq	Staph
SRR1947570_GSM1647038_M374-none-4_Homo_sapiens_RNA-Seq	none
SRR1947569_GSM1647037_M376-none-4_Homo_sapiens_RNA-Seq	none
SRR1947578_GSM1647046_M376-Staph-18_Homo_sapiens_RNA-Seq	Staph
SRR1947581_GSM1647049_M377-none-48_Homo_sapiens_RNA-Seq	none
SRR1947582_GSM1647050_M374-Staph-18_Homo_sapiens_RNA-Seq	Staph
SRR1947584_GSM1647052_M373-none-48_Homo_sapiens_RNA-Seq	none
SRR1947585_GSM1647053_M376-Staph-4_Homo_sapiens_RNA-Seq	Staph
SRR1947589_GSM1647057_M372-Staph-4_Homo_sapiens_RNA-Seq	Staph
SRR1947590_GSM1647058_M372-none-18_Homo_sapiens_RNA-Seq	none
SRR1947596_GSM1647064_M377-none-18_Homo_sapiens_RNA-Seq	none
SRR1947598_GSM1647066_M376-none-18_Homo_sapiens_RNA-Seq	none
SRR1947605_GSM1647073_M374-none-18_Homo_sapiens_RNA-Seq	none
SRR1947615_GSM1647083_M373-none-4_Homo_sapiens_RNA-Seq	none
SRR1947619_GSM1647087_M377-none-4_Homo_sapiens_RNA-Seq	none
