sample_name	condition
SRR1982657_GSM1662607_Blood_Platelets_GBM-284_Homo_sapiens_RNA-Seq	GBM
SRR1982658_GSM1662608_Blood_Platelets_GBM-306_Homo_sapiens_RNA-Seq	GBM
SRR1982659_GSM1662609_Blood_Platelets_GBM-360_Homo_sapiens_RNA-Seq	GBM
SRR1982660_GSM1662610_Blood_Platelets_GBM-372_Homo_sapiens_RNA-Seq	GBM
SRR1982661_GSM1662611_Blood_Platelets_GBM-378_Homo_sapiens_RNA-Seq	GBM
SRR1982663_GSM1662613_Blood_Platelets_GBM-393_Homo_sapiens_RNA-Seq	GBM
SRR1982664_GSM1662614_Blood_Platelets_GBM-394_Homo_sapiens_RNA-Seq	GBM
SRR1982666_GSM1662616_Blood_Platelets_GBM-402_Homo_sapiens_RNA-Seq	GBM
SRR1982667_GSM1662617_Blood_Platelets_GBM-406_Homo_sapiens_RNA-Seq	GBM
SRR1982668_GSM1662618_Blood_Platelets_GBM-408_Homo_sapiens_RNA-Seq	GBM
SRR1982669_GSM1662619_Blood_Platelets_GBM-417_Homo_sapiens_RNA-Seq	GBM
SRR1982672_GSM1662622_Blood_Platelets_GBM-421_Homo_sapiens_RNA-Seq	GBM
SRR1982673_GSM1662623_Blood_Platelets_GBM-422_Homo_sapiens_RNA-Seq	GBM
SRR1982674_GSM1662624_Blood_Platelets_GBM-425_Homo_sapiens_RNA-Seq	GBM
SRR1982675_GSM1662625_Blood_Platelets_GBM-429_Homo_sapiens_RNA-Seq	GBM
SRR1982676_GSM1662626_Blood_Platelets_GBM-430_Homo_sapiens_RNA-Seq	GBM
SRR1982677_GSM1662627_Blood_Platelets_GBM-431_Homo_sapiens_RNA-Seq	GBM
SRR1982679_GSM1662629_Blood_Platelets_GBM-438_Homo_sapiens_RNA-Seq	GBM
SRR1982680_GSM1662630_Blood_Platelets_GBM-439_Homo_sapiens_RNA-Seq	GBM
SRR1982681_GSM1662631_Blood_Platelets_GBM-440_Homo_sapiens_RNA-Seq	GBM
SRR1982682_GSM1662632_Blood_Platelets_GBM-443_Homo_sapiens_RNA-Seq	GBM
SRR1982683_GSM1662633_Blood_Platelets_GBM-445_Homo_sapiens_RNA-Seq	GBM
SRR1982684_GSM1662634_Blood_Platelets_GBM-454_Homo_sapiens_RNA-Seq	GBM
