sample_name	condition
SRR3930303_GSM2241808_CO070_Homo_sapiens_RNA-Seq	HC
SRR3930304_GSM2241809_CO072_Homo_sapiens_RNA-Seq	HC
SRR3930305_GSM2241810_CO068_Homo_sapiens_RNA-Seq	HC
SRR3930306_GSM2241811_CO071_Homo_sapiens_RNA-Seq	HC
SRR3930307_GSM2241812_CO075_Homo_sapiens_RNA-Seq	HC
SRR3930308_GSM2241813_CO081_Homo_sapiens_RNA-Seq	HC
SRR3930310_GSM2241815_CO079_Homo_sapiens_RNA-Seq	HC
SRR3930311_GSM2241816_CO083_Homo_sapiens_RNA-Seq	HC
SRR3930316_GSM2241821_CO104_Homo_sapiens_RNA-Seq	HC
SRR3930317_GSM2241822_CO120_Homo_sapiens_RNA-Seq	HC
SRR3930318_GSM2241823_CO187_Homo_sapiens_RNA-Seq	HC
SRR3930319_GSM2241824_CO188_Homo_sapiens_RNA-Seq	HC
SRR3930321_GSM2241826_CO191_Homo_sapiens_RNA-Seq	HC
SRR3930320_GSM2241825_CO190_Homo_sapiens_RNA-Seq	HC
SRR3930322_GSM2241827_CO193_Homo_sapiens_RNA-Seq	HC
SRR3930323_GSM2241828_CO186_Homo_sapiens_RNA-Seq	HC
SRR3930324_GSM2241829_CO196_Homo_sapiens_RNA-Seq	HC
SRR3930346_GSM2241850_CO059_Homo_sapiens_RNA-Seq	HC
SRR2049609_GSM1703052_CA110_Homo_sapiens_RNA-Seq	Ecoli
SRR2049610_GSM1703053_CA130_Homo_sapiens_RNA-Seq	Ecoli
SRR2049608_GSM1703051_CA063_Homo_sapiens_RNA-Seq	Ecoli
SRR2049611_GSM1703054_CA209_Homo_sapiens_RNA-Seq	Ecoli
SRR2049612_GSM1703055_CA215_Homo_sapiens_RNA-Seq	Ecoli
SRR2049618_GSM1703061_CA386_Homo_sapiens_RNA-Seq	Ecoli
SRR2049616_GSM1703059_CA332_Homo_sapiens_RNA-Seq	Ecoli
SRR2049615_GSM1703058_CA302_Homo_sapiens_RNA-Seq	Ecoli
SRR2049619_GSM1703062_CA419_Homo_sapiens_RNA-Seq	Ecoli
SRR2049621_GSM1703064_CA625_Homo_sapiens_RNA-Seq	Ecoli
SRR2049622_GSM1703065_CA674_Homo_sapiens_RNA-Seq	Ecoli
SRR2049620_GSM1703063_CA437_Homo_sapiens_RNA-Seq	Ecoli
SRR2049624_GSM1703067_CA709_Homo_sapiens_RNA-Seq	Ecoli
SRR2049623_GSM1703066_CA689_Homo_sapiens_RNA-Seq	Ecoli
SRR2049627_GSM1703070_CA894_Homo_sapiens_RNA-Seq	Ecoli
SRR2049626_GSM1703069_CA772_Homo_sapiens_RNA-Seq	Ecoli
SRR2049629_GSM1703072_CA926_Homo_sapiens_RNA-Seq	Ecoli
SRR2049630_GSM1703073_CA036_Homo_sapiens_RNA-Seq	Ecoli
SRR2049628_GSM1703071_CA909_Homo_sapiens_RNA-Seq	Ecoli
SRR2049631_GSM1703074_CA041_Homo_sapiens_RNA-Seq	Ecoli
SRR2049632_GSM1703075_CA067_Homo_sapiens_RNA-Seq	Ecoli
SRR2049635_GSM1703078_CA149_Homo_sapiens_RNA-Seq	Ecoli
SRR2049636_GSM1703079_CA155_Homo_sapiens_RNA-Seq	Ecoli
SRR2049634_GSM1703077_CA133_Homo_sapiens_RNA-Seq	Ecoli
SRR2049637_GSM1703080_CA169_Homo_sapiens_RNA-Seq	Ecoli
SRR2049641_GSM1703084_CA319_Homo_sapiens_RNA-Seq	Ecoli
SRR2049643_GSM1703086_CA345_Homo_sapiens_RNA-Seq	Ecoli
SRR2049644_GSM1703087_CA388_Homo_sapiens_RNA-Seq	Ecoli
SRR2049645_GSM1703088_CA708_Homo_sapiens_RNA-Seq	Ecoli
SRR2049647_GSM1703090_CA714_Homo_sapiens_RNA-Seq	Ecoli
SRR2049646_GSM1703089_CA711_Homo_sapiens_RNA-Seq	Ecoli
SRR2049648_GSM1703091_CA940_Homo_sapiens_RNA-Seq	Ecoli
SRR2049649_GSM1703092_CA056_Homo_sapiens_RNA-Seq	Ecoli
SRR2049650_GSM1703093_CA117_Homo_sapiens_RNA-Seq	Ecoli
SRR2049654_GSM1703097_CA370_Homo_sapiens_RNA-Seq	Ecoli
SRR2049652_GSM1703095_CA352_Homo_sapiens_RNA-Seq	Ecoli
SRR2049655_GSM1703098_CA450_Homo_sapiens_RNA-Seq	Ecoli
SRR2049656_GSM1703099_CA464_Homo_sapiens_RNA-Seq	Ecoli
SRR2049657_GSM1703100_CA528_Homo_sapiens_RNA-Seq	Ecoli
SRR2049660_GSM1703103_CA616_Homo_sapiens_RNA-Seq	Ecoli
SRR2049658_GSM1703101_CA535_Homo_sapiens_RNA-Seq	Ecoli
SRR2049661_GSM1703104_CA683_Homo_sapiens_RNA-Seq	Ecoli
