sample_name	condition
SRR3930303_GSM2241808_CO070_Homo_sapiens_RNA-Seq	HC
SRR3930304_GSM2241809_CO072_Homo_sapiens_RNA-Seq	HC
SRR3930305_GSM2241810_CO068_Homo_sapiens_RNA-Seq	HC
SRR3930306_GSM2241811_CO071_Homo_sapiens_RNA-Seq	HC
SRR3930307_GSM2241812_CO075_Homo_sapiens_RNA-Seq	HC
SRR3930308_GSM2241813_CO081_Homo_sapiens_RNA-Seq	HC
SRR3930310_GSM2241815_CO079_Homo_sapiens_RNA-Seq	HC
SRR3930311_GSM2241816_CO083_Homo_sapiens_RNA-Seq	HC
SRR3930316_GSM2241821_CO104_Homo_sapiens_RNA-Seq	HC
SRR3930317_GSM2241822_CO120_Homo_sapiens_RNA-Seq	HC
SRR3930318_GSM2241823_CO187_Homo_sapiens_RNA-Seq	HC
SRR3930319_GSM2241824_CO188_Homo_sapiens_RNA-Seq	HC
SRR3930321_GSM2241826_CO191_Homo_sapiens_RNA-Seq	HC
SRR3930320_GSM2241825_CO190_Homo_sapiens_RNA-Seq	HC
SRR3930322_GSM2241827_CO193_Homo_sapiens_RNA-Seq	HC
SRR3930323_GSM2241828_CO186_Homo_sapiens_RNA-Seq	HC
SRR3930324_GSM2241829_CO196_Homo_sapiens_RNA-Seq	HC
SRR3930346_GSM2241850_CO059_Homo_sapiens_RNA-Seq	HC
SRR2049755_GSM1703198_CA062_Homo_sapiens_RNA-Seq	Shigella
SRR2049753_GSM1703196_CA042_Homo_sapiens_RNA-Seq	Shigella
SRR2049754_GSM1703197_CA059_Homo_sapiens_RNA-Seq	Shigella
SRR2049756_GSM1703199_CA077_Homo_sapiens_RNA-Seq	Shigella
SRR2049757_GSM1703200_CA119_Homo_sapiens_RNA-Seq	Shigella
SRR2049758_GSM1703201_CA120_Homo_sapiens_RNA-Seq	Shigella
SRR2049760_GSM1703203_CA185_Homo_sapiens_RNA-Seq	Shigella
SRR2049759_GSM1703202_CA159_Homo_sapiens_RNA-Seq	Shigella
SRR2049761_GSM1703204_CA205_Homo_sapiens_RNA-Seq	Shigella
SRR2049763_GSM1703206_CA253_Homo_sapiens_RNA-Seq	Shigella
SRR2049764_GSM1703207_CA275_Homo_sapiens_RNA-Seq	Shigella
SRR2049765_GSM1703208_CA323_Homo_sapiens_RNA-Seq	Shigella
SRR2049767_GSM1703210_CA434_Homo_sapiens_RNA-Seq	Shigella
SRR2049768_GSM1703211_CA438_Homo_sapiens_RNA-Seq	Shigella
SRR2049769_GSM1703212_CA448_Homo_sapiens_RNA-Seq	Shigella
SRR2049770_GSM1703213_CA454_Homo_sapiens_RNA-Seq	Shigella
SRR2049771_GSM1703214_CA473_Homo_sapiens_RNA-Seq	Shigella
SRR2049773_GSM1703216_CA536_Homo_sapiens_RNA-Seq	Shigella
SRR2049774_GSM1703217_CA543_Homo_sapiens_RNA-Seq	Shigella
SRR2049775_GSM1703218_CA561_Homo_sapiens_RNA-Seq	Shigella
SRR2049776_GSM1703219_CA584_Homo_sapiens_RNA-Seq	Shigella
SRR2049777_GSM1703220_CA781_Homo_sapiens_RNA-Seq	Shigella
SRR2049778_GSM1703221_CA821_Homo_sapiens_RNA-Seq	Shigella
SRR2049779_GSM1703222_CA863_Homo_sapiens_RNA-Seq	Shigella
SRR2049780_GSM1703223_CA876_Homo_sapiens_RNA-Seq	Shigella
SRR2049782_GSM1703225_CA879_Homo_sapiens_RNA-Seq	Shigella
SRR2049781_GSM1703224_CA877_Homo_sapiens_RNA-Seq	Shigella
SRR2049783_GSM1703226_CA891_Homo_sapiens_RNA-Seq	Shigella
SRR2049784_GSM1703227_CA893_Homo_sapiens_RNA-Seq	Shigella
SRR2049785_GSM1703228_CA898_Homo_sapiens_RNA-Seq	Shigella
SRR2049786_GSM1703229_CA900_Homo_sapiens_RNA-Seq	Shigella
SRR2049787_GSM1703230_CA905_Homo_sapiens_RNA-Seq	Shigella
SRR2049788_GSM1703231_CA922_Homo_sapiens_RNA-Seq	Shigella
SRR2049789_GSM1703232_CA923_Homo_sapiens_RNA-Seq	Shigella
